,Game Result,Game Mode,Time Length,MMR or Elo,Skill Rank,Relic 1,Relic 2,Kill #,Death #,Assist #,KDA,God Name,Level and Total Gold
151,victory,Ranked: Conquest - 21 days ago,22m,+16,+8 SR,Purification Beads,Blink Rune,11, 1, 3,"
12.5 KDA
",Scylla,"
Level 20 / 15,022G
"
152,victory,Ranked: Conquest - 21 days ago,21m,+15,+11 SR,Aegis Amulet,Purification Beads,10, 0, 3,"
11.5 KDA
",Apollo,"
Level 20 / 13,976G
"
153,defeat,Ranked: Conquest - 23 days ago,34m,-17,-33 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,5, 10, 11,"
1.05 KDA
",Zhong Kui,"
Level 20 / 16,853G
"
154,defeat,Ranked: Conquest - 23 days ago,27m,-17,-23 SR,Aegis Amulet,Purification Beads,5, 5, 5,"
1.5 KDA
",Ra,"
Level 20 / 14,252G
"
155,victory,Ranked: Conquest - 23 days ago,24m,+17,+20 SR,Aegis Amulet,Purification Beads,11, 0, 5,"
13.5 KDA
",Anhur,"
Level 20 / 15,568G
"
156,defeat,Ranked: Conquest - 23 days ago,16m,-17,-7 SR,Aegis Amulet,Purification Beads,3, 2, 2,"
2 KDA
",Janus,"
Level 15 / 9,335G
"
157,victory,Ranked: Conquest - 23 days ago,23m,+17,+22 SR,Aegis Amulet,Purification Beads,4, 2, 9,"
4.25 KDA
",Merlin,"
Level 20 / 14,498G
"
158,defeat,Ranked: Conquest - 23 days ago,24m,-17,-43 SR,Aegis Amulet,Purification Beads,9, 3, 3,"
3.5 KDA
",Agni,"
Level 20 / 13,572G
"
159,victory,Ranked: Conquest - 23 days ago,22m,+18,+13 SR,Purification Beads,Blink Rune,10, 1, 5,"
12.5 KDA
",Isis,"
Level 20 / 14,789G
"
160,victory,Ranked: Conquest - 23 days ago,20m,+17,+28 SR,Aegis Amulet,Purification Beads,8, 0, 10,"
13 KDA
",Cupid,"
Level 19 / 13,324G
"
161,defeat,Ranked: Conquest - 24 days ago,25m,-14,-32 SR,Purification Beads,Blink Rune,7, 8, 3,"
1.06 KDA
",Anubis,"
Level 18 / 12,705G
"
162,defeat,Ranked: Conquest - 24 days ago,44m,-17,-40 SR,Heavenly Wings Upgrade,Blink Rune,3, 8, 11,"
1.06 KDA
",Hercules,"
Level 18 / 17,103G
"
163,victory,Ranked: Conquest - 24 days ago,29m,+16,+80 SR,Shield of Thorns Upgrade,Heavenly Wings Upgrade,3, 0, 11,"
8.5 KDA
",Ne Zha,"
Level 20 / 17,283G
"
164,defeat,Ranked: Conquest - 24 days ago,50m,-17,-45 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,9, 4, 7,"
3.13 KDA
",Medusa,"
Level 20 / 29,156G
"
165,defeat,Ranked: Conquest - 24 days ago,27m,-14,-17 SR,Purification Beads,Blink Rune,5, 3, 6,"
2.67 KDA
",Scylla,"
Level 20 / 14,661G
"
166,victory,Ranked: Conquest - 24 days ago,24m,+17,+13 SR,Aegis Amulet,Purification Beads,6, 5, 8,"
2 KDA
",Apollo,"
Level 20 / 16,156G
"
167,defeat,Normal: Conquest - 25 days ago,45m,-13,-46 SR,Shield of Thorns Upgrade,Purification Beads Upgrade,6, 10, 8,"
1 KDA
",Fenrir,"
Level 20 / 20,338G
"
168,victory,Normal: Conquest - 25 days ago,18m,"+9
",+89 SR,Aegis Amulet,Purification Beads,4, 0, 3,"
5.5 KDA
",Xbalanque,"
Level 17 / 10,441G
"
169,victory,Normal: Conquest - 25 days ago,27m,+10,+64 SR,Purification Beads,Blink Rune,6, 7, 5,"
1.21 KDA
",Chang'e,"
Level 20 / 15,607G
"
170,victory,Normal: Conquest - 25 days ago,21m,"+8
",+43 SR,Shield of Thorns Upgrade,Blink Rune,2, 1, 5,"
4.5 KDA
",Nike,"
Level 19 / 12,878G
"
171,defeat,Normal: Conquest - 25 days ago,30m,-13,-57 SR,Aegis Amulet,Purification Beads,11, 8, 5,"
1.69 KDA
",Skadi,"
Level 20 / 16,272G
"
172,victory,Normal: Conquest - 25 days ago,15m,+11,+94 SR,Purification Beads,Blink Rune,3, 0, 6,"
6 KDA
",Neith,"
Level 16 / 9,773G
"
173,victory,Normal: Conquest - 25 days ago,26m,"+7
",+38 SR,Aegis Amulet,Purification Beads,6, 5, 10,"
2.2 KDA
",Cupid,"
Level 20 / 15,619G
"
174,defeat,Normal: Conquest - 25 days ago,41m,-16,-84 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,13, 12, 12,"
1.58 KDA
",Chiron,"
Level 20 / 20,463G
"
175,defeat,Ranked: Conquest - 25 days ago,27m,-16,-48 SR,Aegis Amulet,Purification Beads,3, 4, 1,"
0.88 KDA
",Apollo,"
Level 20 / 13,720G
"
176,victory,Ranked: Conquest - 1 month ago,22m,+17,+39 SR,Purification Beads,Blink Rune,6, 2, 9,"
5.25 KDA
",Hou Yi,"
Level 19 / 12,913G
"
177,defeat,Ranked: Conquest - 1 month ago,30m,-17,-17 SR,Purification Beads Upgrade,Blink Rune Upgrade,13, 9, 3,"
1.61 KDA
",Ullr,"
Level 20 / 17,721G
"
178,defeat,Ranked: Conquest - 1 month ago,28m,-17,-31 SR,Aegis Amulet,Purification Beads,9, 5, 6,"
2.4 KDA
",Kukulkan,"
Level 20 / 16,581G
"
179,defeat,Ranked: Conquest - 1 month ago,14m,-17,-39 SR,Aegis Amulet,Purification Beads,3, 4, 2,"
1 KDA
",Nu Wa,"
Level 14 / 7,726G
"
180,defeat,Ranked: Conquest - 1 month ago,18m,-17,-125 SR,Aegis Amulet,Purification Beads,2, 6, 2,"
0.5 KDA
",Jing Wei,"
Level 14 / 8,667G
"
181,victory,Ranked: Conquest - 1 month ago,28m,+16,+27 SR,Aegis Amulet,Purification Beads,13, 5, 12,"
3.8 KDA
",Medusa,"
Level 20 / 17,659G
"
182,victory,Ranked: Conquest - 1 month ago,5m,+11,+29 SR,Relic,Purification Beads,0, 0, 1,"
0.5 KDA
",Chiron,"
Level 6 / 3,526G
"
183,victory,Ranked: Conquest - 1 month ago,19m,+16,+14 SR,Aegis Amulet,Purification Beads,16, 0, 5,"
18.5 KDA
",Apollo,"
Level 20 / 14,375G
"
184,victory,Ranked: Conquest - 1 month ago,21m,+17,+64 SR,Cursed Ankh Upgrade,Heavenly Wings Upgrade,4, 1, 17,"
12.5 KDA
",Athena,"
Level 17 / 12,322G
"
185,defeat,Ranked: Conquest - 1 month ago,32m,-17,-55 SR,Aegis Amulet,Purification Beads,4, 5, 8,"
1.6 KDA
",Medusa,"
Level 20 / 16,342G
"
186,defeat,Ranked: Conquest - 1 month ago,21m,-16,-26 SR,Aegis Amulet,Purification Beads,2, 9, 6,"
0.56 KDA
",Isis,"
Level 15 / 10,103G
"
187,victory,Ranked: Conquest - 1 month ago,46m,+14,+11 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,10, 11, 16,"
1.64 KDA
",Apollo,"
Level 20 / 26,348G
"
188,defeat,Ranked: Conquest - 1 month ago,28m,-16,-45 SR,Aegis Amulet,Purification Beads,6, 4, 3,"
1.88 KDA
",Rama,"
Level 20 / 14,366G
"
189,defeat,Ranked: Conquest - 1 month ago,44m,-15,-71 SR,Purification Beads Upgrade,Blink Rune Upgrade,33, 10, 8,"
3.7 KDA
",Thanatos,"
Level 20 / 27,989G
"
190,defeat,Ranked: Conquest - 1 month ago,34m,-17,-82 SR,Aegis Amulet,Purification Beads,9, 8, 11,"
1.81 KDA
",Cupid,"
Level 20 / 17,273G
"
191,victory,Ranked: Conquest - 1 month ago,26m,+16,+15 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,13, 1, 15,"
20.5 KDA
",Apollo,"
Level 20 / 17,805G
"
192,victory,Normal: Conquest - 1 month ago,22m,"+5
",+21 SR,Purification Beads,Blink Rune,18, 5, 5,"
4.1 KDA
",Ullr,"
Level 20 / 14,263G
"
193,victory,Normal: Conquest - 1 month ago,15m,"+7
",+20 SR,Aegis Amulet,Purification Beads,9, 1, 1,"
9.5 KDA
",Zeus,"
Level 16 / 10,900G
"
194,victory,Normal: Conquest - 1 month ago,31m,"+7
",+40 SR,Aegis Amulet,Purification Beads,9, 5, 21,"
3.9 KDA
",Chernobog,"
Level 20 / 16,369G
"
195,defeat,Normal: Conquest - 1 month ago,37m,-14,-53 SR,Blink Rune,Sundering Spear Upgrade,9, 12, 14,"
1.33 KDA
",Cerberus,"
Level 20 / 18,917G
"
196,defeat,Normal: Conquest - 1 month ago,17m,-14,-81 SR,Purification Beads,Sundering Spear,0, 11, 2,"
0.09 KDA
",Ganesha,"
Level 12 / 7,666G
"
197,victory,Normal: Conquest - 1 month ago,22m,"+4
",+49 SR,Aegis Amulet,Purification Beads,14, 1, 7,"
17.5 KDA
",Hachiman,"
Level 20 / 14,287G
"
198,victory,Normal: Conquest - 1 month ago,31m,"+8
",+60 SR,Purification Beads Upgrade,Blink Rune Upgrade,16, 4, 12,"
5.5 KDA
",Camazotz,"
Level 20 / 18,239G
"
199,victory,Ranked: Conquest - 1 month ago,25m,+16,+38 SR,Aegis Amulet,Purification Beads,8, 2, 7,"
5.75 KDA
",Cupid,"
Level 20 / 15,389G
"
200,defeat,Ranked: Conquest - 1 month ago,21m,-18,-56 SR,Aegis Amulet,Purification Beads,4, 6, 8,"
1.33 KDA
",Izanami,"
Level 19 / 12,044G
"
201,victory,Normal: Conquest - 1 month ago,36m,"+9
",+14 SR,Bracer of Undoing Upgrade,Meditation Cloak Upgrade,14, 11, 12,"
1.82 KDA
",Fenrir,"
Level 20 / 20,733G
"
202,victory,Normal: Conquest - 1 month ago,48m,"+7
",+87 SR,Shield of Thorns Upgrade,Teleport Glyph Upgrade,7, 9, 25,"
2.17 KDA
",Terra,"
Level 20 / 24,466G
"
203,defeat,Normal: Conquest - 1 month ago,22m,-14,-49 SR,Purification Beads,Blink Rune,3, 2, 12,"
4.5 KDA
",Khepri,"
Level 19 / 11,924G
"
204,defeat,Normal: Conquest - 1 month ago,22m,-11,-122 SR,Purification Beads,Blink Rune,5, 8, 3,"
0.81 KDA
",Ares,"
Level 15 / 10,515G
"
205,victory,Ranked: Conquest - 1 month ago,41m,+16,+18 SR,Purification Beads Upgrade,Blink Rune Upgrade,19, 7, 9,"
3.36 KDA
",Arachne,"
Level 20 / 26,068G
"
206,defeat,Ranked: Conquest - 1 month ago,12m,-13,-42 SR,Relic,Purification Beads,2, 3, 1,"
0.83 KDA
",Apollo,"
Level 10 / 6,403G
"
207,victory,Ranked: Conquest - 1 month ago,27m,+15,+52 SR,Aegis Amulet,Purification Beads,12, 5, 7,"
3.1 KDA
",Cupid,"
Level 20 / 17,209G
"
208,defeat,Normal: Conquest - 1 month ago,26m,-15,-80 SR,Purification Beads,Blink Rune,10, 6, 3,"
1.92 KDA
",Arachne,"
Level 20 / 13,915G
"
209,victory,Normal: Conquest - 1 month ago,31m,+10,+153 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,12, 10, 14,"
1.9 KDA
",Xbalanque,"
Level 20 / 21,001G
"
210,victory,Normal: Conquest - 1 month ago,46m,"+8
",+233 SR,Purification Beads Upgrade,Blink Rune Upgrade,14, 8, 12,"
2.5 KDA
",Set,"
Level 20 / 24,807G
"
211,defeat,Ranked: Conquest - 1 month ago,30m,-16,-34 SR,Purification Beads,Blink Rune,6, 7, 9,"
1.5 KDA
",Isis,"
Level 20 / 15,096G
"
212,defeat,Ranked: Conquest - 1 month ago,32m,-15,-21 SR,Purification Beads,Blink Rune,8, 4, 3,"
2.38 KDA
",Scylla,"
Level 20 / 15,884G
"
213,victory,Normal: Conquest - 1 month ago,28m,"+6
",+29 SR,Aegis Amulet,Purification Beads,13, 8, 11,"
2.31 KDA
",Agni,"
Level 20 / 16,239G
"
214,victory,Normal: Conquest - 1 month ago,47m,"+6
",+8 SR,Purification Beads Upgrade,Blink Rune Upgrade,30, 5, 8,"
6.8 KDA
",Scylla,"
Level 20 / 29,661G
"
215,defeat,Ranked: Conquest - 1 month ago,31m,-16,-35 SR,Purification Beads,Blink Rune,6, 3, 13,"
4.17 KDA
",Isis,"
Level 20 / 15,384G
"
216,defeat,Ranked: Conquest - 1 month ago,35m,-17,-68 SR,Aegis Amulet,Purification Beads,4, 5, 10,"
1.8 KDA
",Neith,"
Level 20 / 16,019G
"
217,victory,Ranked: Conquest - 1 month ago,19m,+12,+16 SR,Aegis Amulet,Purification Beads,19, 0, 3,"
20.5 KDA
",Apollo,"
Level 20 / 14,744G
"
218,victory,Normal: Conquest - 1 month ago,22m,"+5
",+63 SR,Purification Beads,Blink Rune,15, 0, 9,"
19.5 KDA
",Horus,"
Level 20 / 14,338G
"
219,defeat,Ranked: Conquest - 1 month ago,23m,-17,-32 SR,Aegis Amulet,Purification Beads,5, 6, 4,"
1.17 KDA
",The Morrigan,"
Level 19 / 11,958G
"
220,defeat,Ranked: Conquest - 1 month ago,21m,-17,-21 SR,Aegis Amulet,Purification Beads,1, 7, 7,"
0.64 KDA
",Anhur,"
Level 16 / 10,000G
"
221,victory,Normal: Conquest - 1 month ago,16m,+12,+26 SR,Aegis Amulet,Purification Beads,5, 1, 2,"
6 KDA
",Discordia,"
Level 16 / 9,980G
"
222,victory,Normal: Conquest - 1 month ago,14m,+10,+35 SR,Aegis Amulet,Purification Beads,5, 4, 2,"
1.5 KDA
",Ah Muzen Cab,"
Level 14 / 9,173G
"
223,victory,Ranked: Conquest - 1 month ago,22m,+17,+52 SR,Aegis Amulet,Purification Beads,3, 5, 12,"
1.8 KDA
",Chernobog,"
Level 17 / 11,872G
"
224,victory,Ranked: Conquest - 1 month ago,34m,+15,+21 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,17, 7, 15,"
3.5 KDA
",Apollo,"
Level 20 / 22,493G
"
225,victory,Normal: Conquest - 1 month ago,22m,"+7
",+78 SR,Purification Beads,Blink Rune,23, 2, 3,"
12.25 KDA
",Cupid,"
Level 20 / 15,971G
"
226,victory,Normal: Conquest - 1 month ago,10m,"+6
",+259 SR,Relic,Blink Rune,2, 0, 7,"
5.5 KDA
",Bacchus,"
Level 10 / 6,489G
"
227,victory,Normal: Conquest - 1 month ago,21m,"+8
",+29 SR,Bracer of Undoing Upgrade,Blink Rune,14, 1, 11,"
19.5 KDA
",Anubis,"
Level 19 / 13,576G
"
228,victory,Normal: Conquest - 1 month ago,21m,"+7
",+30 SR,Aegis Amulet,Purification Beads,15, 2, 7,"
9.25 KDA
",Agni,"
Level 20 / 14,100G
"
229,victory,Ranked: Conquest - 1 month ago,25m,+17,+10 SR,Purification Beads,Blink Rune,4, 2, 9,"
4.25 KDA
",Scylla,"
Level 20 / 15,223G
"
230,defeat,Ranked: Conquest - 1 month ago,22m,-17,-32 SR,Aegis Amulet,Purification Beads,3, 4, 5,"
1.38 KDA
",Raijin,"
Level 16 / 10,275G
"
231,defeat,Ranked: Conquest - 1 month ago,28m,-17,-46 SR,Aegis Amulet,Purification Beads,6, 7, 5,"
1.21 KDA
",Medusa,"
Level 20 / 14,902G
"
232,victory,Ranked: Conquest - 1 month ago,43m,+16,+24 SR,Aegis Amulet,Purification Beads,7, 6, 10,"
2 KDA
",Ra,"
Level 20 / 23,302G
"
233,defeat,Ranked: Conquest - 1 month ago,43m,-17,-40 SR,Purification Beads Upgrade,Blink Rune Upgrade,7, 7, 12,"
1.86 KDA
",Nox,"
Level 20 / 21,215G
"
234,victory,Ranked: Conquest - 1 month ago,18m,+17,+12 SR,Aegis Amulet,Purification Beads,5, 1, 7,"
8.5 KDA
",Isis,"
Level 17 / 11,646G
"
235,victory,Normal: Conquest - 1 month ago,26m,"+8
",+38 SR,Purification Beads,Blink Rune,15, 5, 10,"
4 KDA
",Camazotz,"
Level 20 / 16,304G
"
236,victory,Ranked: Conquest - 1 month ago,27m,+17,+37 SR,Purification Beads,Blink Rune,10, 4, 9,"
3.63 KDA
",He Bo,"
Level 20 / 16,370G
"
237,victory,Ranked: Conquest - 1 month ago,28m,+17,+28 SR,Aegis Amulet,Purification Beads,10, 2, 12,"
8 KDA
",Kukulkan,"
Level 20 / 17,017G
"
238,victory,Ranked: Conquest - 1 month ago,22m,+17,+101 SR,Purification Beads,Blink Rune,14, 0, 6,"
17 KDA
",Thanatos,"
Level 20 / 14,804G
"
239,victory,Ranked: Conquest - 1 month ago,21m,+15,+104 SR,Aegis Amulet,Purification Beads,7, 2, 9,"
5.75 KDA
",Cupid,"
Level 20 / 13,330G
"
240,defeat,Ranked: Conquest - 1 month ago,26m,-15,-38 SR,Aegis Amulet,Purification Beads,7, 4, 5,"
2.38 KDA
",Raijin,"
Level 20 / 14,126G
"
241,victory,Normal: Conquest - 1 month ago,28m,"+9
",+79 SR,Purification Beads Upgrade,Blink Rune Upgrade,36, 3, 10,"
13.67 KDA
",Camazotz,"
Level 20 / 21,319G
"
242,defeat,Normal: Conquest - 1 month ago,44m,-16,-95 SR,Magic Shell Upgrade,Heavenly Wings Upgrade,7, 12, 23,"
1.54 KDA
",Athena,"
Level 20 / 20,791G
"
243,victory,Normal: Conquest - 1 month ago,44m,"+6
",+64 SR,Heavenly Wings Upgrade,Blink Rune Upgrade,11, 6, 26,"
4 KDA
",Ne Zha,"
Level 20 / 25,382G
"
244,victory,Normal: Conquest - 1 month ago,10m,"+5
",+26 SR,Relic,Purification Beads,8, 1, 3,"
9.5 KDA
",Zeus,"
Level 12 / 7,061G
"
245,defeat,Normal: Conquest - 1 month ago,34m,-14,-60 SR,Purification Beads,Blink Rune,17, 9, 9,"
2.39 KDA
",Artio,"
Level 20 / 20,195G
"
246,victory,Normal: Conquest - 1 month ago,22m,"+6
",+63 SR,Heavenly Wings Upgrade,Blink Rune,24, 1, 14,"
31 KDA
",Loki,"
Level 20 / 15,569G
"
247,victory,Ranked: Conquest - 1 month ago,27m,+15,+33 SR,Aegis Amulet,Purification Beads,8, 3, 8,"
4 KDA
",Agni,"
Level 20 / 14,816G
"
248,victory,Ranked: Conquest - 1 month ago,20m,+13,+180 SR,Purification Beads,Blink Rune,8, 1, 8,"
12 KDA
",Neith,"
Level 18 / 12,285G
"
249,defeat,Ranked: Conquest - 1 month ago,39m,-16,-26 SR,Aegis Amulet Upgrade,Blink Rune,7, 6, 11,"
2.08 KDA
",Zhong Kui,"
Level 20 / 21,229G
"
250,defeat,Ranked: Conquest - 1 month ago,19m,-15,-36 SR,Aegis Amulet,Purification Beads,2, 6, 2,"
0.5 KDA
",Ra,"
Level 15 / 9,620G
"
251,victory,Normal: Conquest - 1 month ago,23m,"+7
",+46 SR,Teleport Glyph Upgrade,Sundering Spear Upgrade,5, 5, 23,"
3.3 KDA
",Cerberus,"
Level 18 / 13,290G
"
252,victory,Normal: Conquest - 1 month ago,22m,+10,+19 SR,Magic Shell,Heavenly Wings Upgrade,10, 5, 9,"
2.9 KDA
",Anhur,"
Level 18 / 13,916G
"
253,victory,Normal: Conquest - 1 month ago,23m,"+7
",+94 SR,Purification Beads,Heavenly Wings Upgrade,12, 6, 10,"
2.83 KDA
",Erlang Shen,"
Level 18 / 15,006G
"
254,defeat,Normal: Conquest - 1 month ago,36m,-11,-87 SR,Blink Rune,Sundering Spear Upgrade,6, 12, 7,"
0.79 KDA
",Kumbhakarna,"
Level 20 / 16,566G
"
255,defeat,Normal: Conquest - 1 month ago,37m,-13,-53 SR,Purification Beads Upgrade,Blink Rune Upgrade,7, 13, 9,"
0.88 KDA
",Camazotz,"
Level 20 / 16,731G
"
256,defeat,Ranked: Conquest - 1 month ago,24m,-16,-18 SR,Purification Beads,Blink Rune,8, 4, 5,"
2.63 KDA
",Scylla,"
Level 19 / 12,730G
"
257,defeat,Ranked: Conquest - 1 month ago,22m,-16,-17 SR,Aegis Amulet,Purification Beads,5, 8, 1,"
0.69 KDA
",Zeus,"
Level 17 / 11,247G
"
258,victory,Ranked: Conquest - 1 month ago,34m,+15,+47 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,19, 5, 6,"
4.4 KDA
",Poseidon,"
Level 20 / 24,392G
"
259,victory,Ranked: Conquest - 1 month ago,25m,+18,+19 SR,Purification Beads,Blink Rune,9, 5, 14,"
3.2 KDA
",Isis,"
Level 20 / 15,795G
"
260,victory,Ranked: Conquest - 1 month ago,25m,+16,+11 SR,Aegis Amulet,Blink Rune,5, 8, 10,"
1.25 KDA
",Scylla,"
Level 19 / 14,171G
"
261,defeat,Ranked: Conquest - 1 month ago,35m,-16,-35 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,7, 7, 7,"
1.5 KDA
",Chernobog,"
Level 20 / 18,995G
"
262,defeat,Normal: Conquest - 1 month ago,33m,-13,-78 SR,Purification Beads,Blink Rune,15, 5, 3,"
3.3 KDA
",Vamana,"
Level 20 / 20,239G
"
263,defeat,Normal: Conquest - 1 month ago,35m,-17,-75 SR,Magic Shell Upgrade,Heavenly Wings Upgrade,2, 4, 20,"
3 KDA
",Horus,"
Level 20 / 15,767G
"
264,defeat,Normal: Conquest - 1 month ago,30m,-15,-68 SR,Sundering Spear Upgrade,Teleport Glyph Upgrade,5, 8, 4,"
0.88 KDA
",King Arthur,"
Level 20 / 13,901G
"
265,victory,Normal: Conquest - 1 month ago,16m,"+7
",+94 SR,Belt of Frenzy,Sundering Spear Upgrade,3, 1, 13,"
9.5 KDA
",Khepri,"
Level 14 / 8,873G
"
266,victory,Normal: Conquest - 1 month ago,30m,"+8
",+109 SR,Purification Beads Upgrade,Blink Rune Upgrade,17, 7, 12,"
3.29 KDA
",Kali,"
Level 20 / 20,203G
"
267,victory,Normal: Conquest - 1 month ago,24m,"+9
",+34 SR,Aegis Amulet,Blink Rune,11, 2, 11,"
8.25 KDA
",Chang'e,"
Level 20 / 15,404G
"
268,victory,Ranked: Conquest - 1 month ago,33m,+16,+15 SR,Aegis Amulet,Purification Beads Upgrade,11, 9, 12,"
1.89 KDA
",Apollo,"
Level 20 / 21,158G
"
269,victory,Ranked: Conquest - 1 month ago,26m,+16,+68 SR,Aegis Amulet,Purification Beads,3, 4, 10,"
2 KDA
",Zhong Kui,"
Level 20 / 14,559G
"
270,victory,Ranked: Conquest - 1 month ago,27m,+19,+42 SR,Purification Beads,Blink Rune,4, 7, 8,"
1.14 KDA
",Hades,"
Level 20 / 15,658G
"
271,victory,Ranked: Conquest - 1 month ago,19m,+16,+41 SR,Purification Beads,Blink Rune,13, 0, 10,"
18 KDA
",Ullr,"
Level 19 / 13,667G
"
272,defeat,Normal: Conquest - 1 month ago,28m,-14,-79 SR,Bracer of Undoing Upgrade,Sundering Spear Upgrade,5, 13, 6,"
0.62 KDA
",King Arthur,"
Level 19 / 13,027G
"
273,defeat,Ranked: Conquest - 1 month ago,30m,-18,-44 SR,Aegis Amulet,Purification Beads,4, 14, 2,"
0.36 KDA
",Rama,"
Level 20 / 13,651G
"
274,defeat,Ranked: Conquest - 1 month ago,31m,-17,-15 SR,Aegis Amulet,Purification Beads,10, 2, 9,"
7.25 KDA
",Janus,"
Level 20 / 18,109G
"
275,victory,Ranked: Conquest - 1 month ago,21m,+16,+11 SR,Aegis Amulet,Purification Beads,20, 1, 6,"
23 KDA
",Apollo,"
Level 20 / 15,306G
"
276,victory,Normal: Conquest - 1 month ago,27m,"+6
",+45 SR,Cursed Ankh Upgrade,Heavenly Wings Upgrade,16, 4, 19,"
6.38 KDA
",Sun Wukong,"
Level 20 / 17,529G
"
277,victory,Normal: Conquest - 1 month ago,20m,"+5
",+111 SR,Magic Shell,Heavenly Wings Upgrade,10, 2, 20,"
10 KDA
",Horus,"
Level 17 / 12,801G
"
278,victory,Normal: Conquest - 1 month ago,25m,"+8
",+126 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,25, 2, 8,"
14.5 KDA
",Olorun,"
Level 20 / 17,705G
"
279,victory,Normal: Conquest - 1 month ago,15m,"+6
",+62 SR,Purification Beads,Blink Rune,10, 3, 2,"
3.67 KDA
",Tyr,"
Level 15 / 9,634G
"
280,defeat,Normal: Conquest - 1 month ago,19m,-15,-89 SR,Purification Beads,Blink Rune,5, 7, 4,"
1 KDA
",Hercules,"
Level 13 / 9,377G
"
281,victory,Normal: Conquest - 1 month ago,25m,"+6
",+60 SR,Shield of Thorns Upgrade,Teleport Glyph Upgrade,19, 0, 8,"
23 KDA
",Sun Wukong,"
Level 20 / 16,671G
"
282,victory,Normal: Conquest - 1 month ago,24m,"+9
",+28 SR,Purification Beads,Blink Rune,14, 5, 7,"
3.5 KDA
",Nox,"
Level 20 / 15,085G
"
283,defeat,Ranked: Conquest - 1 month ago,34m,-17,-43 SR,Purification Beads,Blink Rune,9, 16, 11,"
0.91 KDA
",Isis,"
Level 20 / 16,158G
"
284,defeat,Normal: Conquest - 1 month ago,33m,-12,-136 SR,Horrific Emblem Upgrade,Sundering Spear Upgrade,1, 12, 10,"
0.5 KDA
",Ganesha,"
Level 20 / 15,199G
"
285,defeat,Normal: Conquest - 1 month ago,29m,-14,-87 SR,Aegis Amulet,Teleport Glyph Upgrade,7, 13, 5,"
0.73 KDA
",Skadi,"
Level 20 / 15,955G
"
286,defeat,Normal: Conquest - 1 month ago,26m,-13,-24 SR,Purification Beads,Blink Rune,8, 7, 4,"
1.43 KDA
",Nemesis,"
Level 19 / 13,728G
"
287,defeat,Ranked: Conquest - 1 month ago,17m,-17,-53 SR,Aegis Amulet,Purification Beads,7, 6, 4,"
1.5 KDA
",Thoth,"
Level 15 / 9,888G
"
288,victory,Normal: Conquest - 1 month ago,33m,"+9
",+67 SR,Purification Beads,Blink Rune,14, 9, 7,"
1.94 KDA
",Susano,"
Level 20 / 19,367G
"
289,victory,Normal: Conquest - 1 month ago,33m,"+8
",+31 SR,Purification Beads Upgrade,Blink Rune Upgrade,12, 4, 8,"
4 KDA
",Anhur,"
Level 20 / 20,512G
"
290,defeat,Normal: Conquest - 1 month ago,29m,-16,-24 SR,Sundering Spear Upgrade,Blink Rune,7, 8, 2,"
1 KDA
",Loki,"
Level 20 / 17,213G
"
291,victory,Normal: Conquest - 1 month ago,19m,"+5
",+30 SR,Bracer of Undoing,Blink Rune,22, 3, 12,"
9.33 KDA
",Ratatoskr,"
Level 17 / 13,089G
"
292,victory,Ranked: Conquest - 1 month ago,33m,+18,+56 SR,Aegis Amulet,Purification Beads,11, 3, 13,"
5.83 KDA
",Nu Wa,"
Level 20 / 19,158G
"
293,defeat,Ranked: Conquest - 1 month ago,23m,-18,-32 SR,Aegis Amulet,Purification Beads,5, 3, 2,"
2 KDA
",Vulcan,"
Level 18 / 11,702G
"
294,victory,Normal: Conquest - 1 month ago,25m,"+9
",+91 SR,Sundering Spear Upgrade,Blink Rune,8, 5, 9,"
2.5 KDA
",Fafnir,"
Level 20 / 14,940G
"
295,defeat,Ranked: Conquest - 1 month ago,30m,-17,-19 SR,Aegis Amulet,Purification Beads,10, 7, 6,"
1.86 KDA
",Poseidon,"
Level 20 / 16,368G
"
296,victory,Normal: Conquest - 1 month ago,25m,"+8
",+182 SR,Purification Beads,Blink Rune,13, 2, 8,"
8.5 KDA
",Kali,"
Level 20 / 16,652G
"
297,victory,Normal: Conquest - 1 month ago,35m,+11,+48 SR,Blink Rune Upgrade,Sundering Spear Upgrade,11, 6, 17,"
3.25 KDA
",Cerberus,"
Level 20 / 18,463G
"
298,defeat,Ranked: Conquest - 1 month ago,24m,-17,-48 SR,Aegis Amulet,Purification Beads,2, 13, 4,"
0.31 KDA
",Raijin,"
Level 14 / 9,850G
"
299,defeat,Normal: Conquest - 1 month ago,22m,-13,-94 SR,Magic Shell Upgrade,Heavenly Wings Upgrade,1, 3, 7,"
1.5 KDA
",Horus,"
Level 15 / 10,125G
"
300,defeat,Ranked: Conquest - 1 month ago,26m,-18,-56 SR,Aegis Amulet,Purification Beads,13, 8, 6,"
2 KDA
",Apollo,"
Level 20 / 15,817G
"
